sku,nombre,categoria,precio_cop,stock,descripcion
SKU-001,Botella térmica de acero reutilizable,botellas,89000,42,"Botella de acero inoxidable de 500ml, mantiene la temperatura hasta por 12 horas, libre de BPA."
SKU-002,Cepillo de bambú,cepillos,15000,120,"Cepillo dental con mango de bambú certificado y cerdas biodegradables de carbón activado."
SKU-003,Kit de cubiertos reutilizables,cubiertos reutilizables,32000,75,"Set de cubiertos en bambú con estuche de tela, incluye cuchara, tenedor, cuchillo y pitillo."
SKU-004,Shampoo sólido natural,productos de higiene,24000,60,"Shampoo en barra sin sulfatos, ingredientes naturales, apto para todo tipo de cabello."
SKU-005,Bolsa compostable,productos perecederos,9000,200,"Bolsa 100% compostable para empaque de alimentos frescos, capacidad 5kg."
SKU-006,Set de higiene personal ecológico,productos de higiene,45000,30,"Kit con jabón sólido, shampoo sólido y esponja vegetal en empaque de cartón reciclado."
SKU-007,Contenedor de vidrio reutilizable,contenedores de vidrio,28000,55,"Contenedor de vidrio templado con tapa de bambú, apto para horno y refrigerador, 750ml."
SKU-008,Esponja vegetal natural,productos de higiene,8000,150,"Esponja de fibra vegetal 100% biodegradable, ideal para lavado de platos y cuerpo."
SKU-009,Vasos de silicona reutilizables,cubiertos reutilizables,18000,90,"Set de 4 vasos plegables de silicona alimentaria, libres de BPA, aptos para exteriores."
SKU-010,Jabón artesanal ecológico,productos perecederos,12000,110,"Jabón artesanal elaborado con aceites vegetales y esencias naturales, sin conservantes agresivos."
